ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
10. Series de indices enlazados  de la produccion nominal y real,  ventas nominal y real  y empleo (total y por area funcional),  segun clase industrial;;;;;;;;;;
Enero 2001  - Octubre 2023p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicacion Diciembre 15 de 2023;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
Dominios;YEAR;MES ;Clases industriales;Produccion nominal;Produccion real;Ventas nominal;Ventas reales;Empleo  Total;Personal de Administracion;Personal de Produccion
1010;2008;5;Procesamiento y conservacion de carne, pescado,y sus productos;49,7;66,3;56;74,5;92,6;89,1;93,2
1010;2008;6;Procesamiento y conservacion de carne, pescado,y sus productos;47,8;64,2;52,2;70,1;92,3;93,7;91,5
1010;2008;7;Procesamiento y conservacion de carne, pescado,y sus productos;51,1;69,1;57,7;77,9;93,8;90,1;94,5
1010;2008;8;Procesamiento y conservacion de carne, pescado,y sus productos;48,3;65,6;56,4;76,4;94,6;92,8;94,6
1010;2008;9;Procesamiento y conservacion de carne, pescado,y sus productos;54,1;73,7;62,3;84,8;95,9;91,3;96,8
1010;2008;10;Procesamiento y conservacion de carne, pescado,y sus productos;60,4;82,1;65,5;89;98,7;90,4;100,6
1010;2008;11;Procesamiento y conservacion de carne, pescado,y sus productos;60,5;80,9;61,6;82,3;96,5;89;98,5
1010;2008;12;Procesamiento y conservacion de carne, pescado,y sus productos;59,9;79,2;71,5;94,6;91;91,1;90,9
1010;2009;1;Procesamiento y conservacion de carne, pescado,y sus productos;54;70,1;57;73,6;90,9;86,1;91,8
1010;2009;2;Procesamiento y conservacion de carne, pescado,y sus productos;52,3;67,6;55;71,1;92,5;87,1;93,6
1010;2009;3;Procesamiento y conservacion de carne, pescado,y sus productos;54;70,2;59,9;77,8;89,4;84,7;90,5
1010;2009;4;Procesamiento y conservacion de carne, pescado,y sus productos;50,9;64,4;58,3;73,6;91,1;86,4;92,1
1010;2009;5;Procesamiento y conservacion de carne, pescado,y sus productos;54;68,6;59,5;75,6;89,9;84,5;91
1010;2009;6;Procesamiento y conservacion de carne, pescado,y sus productos;51,6;65,9;59,1;75,7;89,6;88,9;89,4
1010;2009;7;Procesamiento y conservacion de carne, pescado,y sus productos;58;74,6;63,7;82,1;90,7;87,2;91,3
1010;2009;8;Procesamiento y conservacion de carne, pescado,y sus productos;54,7;70,1;60,4;77,3;90,3;88,6;90,3
1010;2009;9;Procesamiento y conservacion de carne, pescado,y sus productos;53,6;69,9;59;77,2;90,3;87;90,8
1010;2009;10;Procesamiento y conservacion de carne, pescado,y sus productos;57,6;76,5;61,4;81,9;90;86,5;90,7
1010;2009;11;Procesamiento y conservacion de carne, pescado,y sus productos;61,2;82,9;59,3;80,1;91,6;88;92,5
1010;2009;12;Procesamiento y conservacion de carne, pescado,y sus productos;63;85;74,6;100,4;88,5;90,3;87,9
1010;2010;1;Procesamiento y conservacion de carne, pescado,y sus productos;50,9;67,6;55,5;73,6;90,4;93,4;89,3
1010;2010;2;Procesamiento y conservacion de carne, pescado,y sus productos;49,7;65,7;54,4;72,4;90,1;91,5;89,5
1010;2010;3;Procesamiento y conservacion de carne, pescado,y sus productos;56,8;75,9;63,8;85,6;87,9;89,2;87,4
1010;2010;4;Procesamiento y conservacion de carne, pescado,y sus productos;51,6;66,5;57,4;73,7;88,5;90,1;87,9
1010;2010;5;Procesamiento y conservacion de carne, pescado,y sus productos;53;68;58,7;75;88,5;88,1;88,3
1010;2010;6;Procesamiento y conservacion de carne, pescado,y sus productos;54,9;69,9;62,6;79,9;86,9;91,8;85,3
1010;2010;7;Procesamiento y conservacion de carne, pescado,y sus productos;55,9;73;61,6;80,2;87,7;88,9;87,2
1010;2010;8;Procesamiento y conservacion de carne, pescado,y sus productos;54;69,7;60;77,9;84,7;92,2;82,5
1010;2010;9;Procesamiento y conservacion de carne, pescado,y sus productos;55,4;72,3;59,8;78,1;82,9;88,6;81,2
1010;2010;10;Procesamiento y conservacion de carne, pescado,y sus productos;57,9;75,8;61,7;80,8;86,3;87,5;85,8
1010;2010;11;Procesamiento y conservacion de carne, pescado,y sus productos;61,5;81;62,3;82,1;86,7;88,7;86,3
1010;2010;12;Procesamiento y conservacion de carne, pescado,y sus productos;68,8;90,2;85,9;112,8;86;91,5;84,4
1010;2011;1;Procesamiento y conservacion de carne, pescado,y sus productos;54,8;68,3;56,9;71,1;83,2;89,2;81,5
1010;2011;2;Procesamiento y conservacion de carne, pescado,y sus productos;56,2;69,7;55,5;69,2;84,5;87;83,6
1010;2011;3;Procesamiento y conservacion de carne, pescado,y sus productos;61,1;76,2;64;80,1;82,6;87,9;81
1010;2011;4;Procesamiento y conservacion de carne, pescado,y sus productos;59,9;74,4;59,1;73,4;81,5;89,6;79,3
1010;2011;5;Procesamiento y conservacion de carne, pescado,y sus productos;61,6;76,8;59,6;74,6;80,7;88;78,6
1010;2011;6;Procesamiento y conservacion de carne, pescado,y sus productos;60,5;75,1;60;74,7;79,1;92;75,7
1010;2011;7;Procesamiento y conservacion de carne, pescado,y sus productos;64,7;81,9;65,9;83,4;84,1;90;82,4
1010;2011;8;Procesamiento y conservacion de carne, pescado,y sus productos;64,3;81,4;68,5;86,7;86;93,8;83,7
1010;2011;9;Procesamiento y conservacion de carne, pescado,y sus productos;67,2;85,8;69,2;88,5;86,4;91,8;84,8
1010;2011;10;Procesamiento y conservacion de carne, pescado,y sus productos;71,9;89,7;70,7;88,4;89,5;91,7;88,8
1010;2011;11;Procesamiento y conservacion de carne, pescado,y sus productos;79,5;98,9;73,6;91,6;90,8;92,9;90,3
1010;2011;12;Procesamiento y conservacion de carne, pescado,y sus productos;83,8;102,4;90,8;111;88;91,4;87,1
1010;2012;1;Procesamiento y conservacion de carne, pescado,y sus productos;70,8;84,9;63,4;75,8;89;96,2;87
1010;2012;2;Procesamiento y conservacion de carne, pescado,y sus productos;67,2;80,1;61,7;73,5;90,2;97;88,2
1010;2012;3;Procesamiento y conservacion de carne, pescado,y sus productos;67,5;81,1;71,3;86,7;88,8;91,3;88
